"h","e","m","t","min","max","mid"
0,39,47,40,0,5,2.5
1,8,3,8,5,10,2.5
1,2,0,2,10,15,2.5
4,0,0,0,15,20,2.5
13,0,0,0,20,25,2.5
9,0,0,0,25,30,2.5
6,0,0,0,30,35,2.5
7,0,0,0,35,40,2.5
2,0,0,0,40,45,2.5
2,0,0,0,45,50,2.5
3,0,0,0,50,55,2.5
1,0,0,0,55,60,2.5
1,0,0,0,60,65,2.5
0,0,0,0,65,70,2.5
0,0,0,0,70,75,2.5
0,0,0,0,75,80,2.5
