"h","e","m","t","min","max","mid"
1,1,0,1,0,5,2.5
0,0,0,2,5,10,2.5
2,1,0,3,10,15,2.5
1,0,0,1,15,20,2.5
2,0,0,5,20,25,2.5
1,0,1,6,25,30,2.5
4,0,0,5,30,35,2.5
3,1,0,4,35,40,2.5
4,1,0,8,40,45,2.5
4,3,0,2,45,50,2.5
8,1,0,3,50,55,2.5
3,2,0,1,55,60,2.5
5,0,0,1,60,65,2.5
5,3,0,2,65,70,2.5
3,3,0,0,70,75,2.5
2,2,0,0,75,80,2.5
0,6,8,0,80,85,2.5
0,2,12,0,85,90,2.5
0,5,20,2,90,95,2.5
0,0,4,1,95,100,2.5
0,0,0,0,100,105,2.5
0,0,4,0,105,110,2.5
0,0,0,0,110,115,2.5
0,0,1,0,115,120,2.5
